candidate_id,split_idx,sharpe_ratio,total_return,max_drawdown,trade_count,dataset,selection_score,eligible_for_selection,family,strategy_name,candidate_label,params_json,fast_window,slow_window
"ma_crossover_ls|fast_window=24,slow_window=48",0,3.4761318757686235,0.12247521415356936,-0.11266468261968998,127,train,3.4761318757686235,True,ma_crossover_ls,ma_crossover_ls,"fast_window=24, slow_window=48","{""fast_window"": 24, ""slow_window"": 48}",24,48
"ma_crossover_ls|fast_window=24,slow_window=48",1,-2.1303493238889013,-0.05083278827416416,-0.14935653569210194,138,train,-2.1303493238889013,True,ma_crossover_ls,ma_crossover_ls,"fast_window=24, slow_window=48","{""fast_window"": 24, ""slow_window"": 48}",24,48
"ma_crossover_ls|fast_window=24,slow_window=72",0,3.783954501204267,0.13478075204311177,-0.08719334229570286,88,train,3.783954501204267,True,ma_crossover_ls,ma_crossover_ls,"fast_window=24, slow_window=72","{""fast_window"": 24, ""slow_window"": 72}",24,72
"ma_crossover_ls|fast_window=24,slow_window=72",1,-3.1422152301742536,-0.07204912424442603,-0.1516343417896635,106,train,-3.1422152301742536,True,ma_crossover_ls,ma_crossover_ls,"fast_window=24, slow_window=72","{""fast_window"": 24, ""slow_window"": 72}",24,72
"ma_crossover_ls|fast_window=24,slow_window=96",0,3.236837735182832,0.10657454338465278,-0.08427018284325805,73,train,3.236837735182832,True,ma_crossover_ls,ma_crossover_ls,"fast_window=24, slow_window=96","{""fast_window"": 24, ""slow_window"": 96}",24,96
"ma_crossover_ls|fast_window=24,slow_window=96",1,-2.0118378405454234,-0.04827930012761794,-0.14095927596044733,74,train,-2.0118378405454234,True,ma_crossover_ls,ma_crossover_ls,"fast_window=24, slow_window=96","{""fast_window"": 24, ""slow_window"": 96}",24,96
"ma_crossover_ls|fast_window=36,slow_window=144",0,-3.3134537107075404,-0.10369113866716975,-0.20698005291191757,50,train,-3.3134537107075404,True,ma_crossover_ls,ma_crossover_ls,"fast_window=36, slow_window=144","{""fast_window"": 36, ""slow_window"": 144}",36,144
"ma_crossover_ls|fast_window=36,slow_window=144",1,1.5443101448851648,0.030237162313845146,-0.0622609299612098,50,train,1.5443101448851648,True,ma_crossover_ls,ma_crossover_ls,"fast_window=36, slow_window=144","{""fast_window"": 36, ""slow_window"": 144}",36,144
"ma_crossover_ls|fast_window=36,slow_window=48",0,4.762675272658266,0.17712286437061356,-0.1184463568512556,141,train,4.762675272658266,True,ma_crossover_ls,ma_crossover_ls,"fast_window=36, slow_window=48","{""fast_window"": 36, ""slow_window"": 48}",36,48
"ma_crossover_ls|fast_window=36,slow_window=48",1,-7.046583228370649,-0.15004751350170945,-0.1908091147839489,161,train,-7.046583228370649,True,ma_crossover_ls,ma_crossover_ls,"fast_window=36, slow_window=48","{""fast_window"": 36, ""slow_window"": 48}",36,48
"ma_crossover_ls|fast_window=36,slow_window=72",0,0.9849256908752778,0.024185155452767504,-0.12317055142094546,84,train,0.9849256908752778,True,ma_crossover_ls,ma_crossover_ls,"fast_window=36, slow_window=72","{""fast_window"": 36, ""slow_window"": 72}",36,72
"ma_crossover_ls|fast_window=36,slow_window=72",1,-1.0561699928126012,-0.02775334733556588,-0.10479033010046723,92,train,-1.0561699928126012,True,ma_crossover_ls,ma_crossover_ls,"fast_window=36, slow_window=72","{""fast_window"": 36, ""slow_window"": 72}",36,72
"ma_crossover_ls|fast_window=36,slow_window=96",0,-1.8700503259008048,-0.07369296992615637,-0.19881626826775267,69,train,-1.8700503259008048,True,ma_crossover_ls,ma_crossover_ls,"fast_window=36, slow_window=96","{""fast_window"": 36, ""slow_window"": 96}",36,96
"ma_crossover_ls|fast_window=36,slow_window=96",1,-2.7936176152750805,-0.06475329501333146,-0.1361226679788653,70,train,-2.7936176152750805,True,ma_crossover_ls,ma_crossover_ls,"fast_window=36, slow_window=96","{""fast_window"": 36, ""slow_window"": 96}",36,96
"ma_crossover_ls|fast_window=48,slow_window=144",0,-3.13058063107705,-0.09861417445780535,-0.20261364971677032,50,train,-3.13058063107705,True,ma_crossover_ls,ma_crossover_ls,"fast_window=48, slow_window=144","{""fast_window"": 48, ""slow_window"": 144}",48,144
"ma_crossover_ls|fast_window=48,slow_window=144",1,-1.0276517410261419,-0.026990379963197027,-0.08548516565449582,48,train,-1.0276517410261419,True,ma_crossover_ls,ma_crossover_ls,"fast_window=48, slow_window=144","{""fast_window"": 48, ""slow_window"": 144}",48,144
"ma_crossover_ls|fast_window=48,slow_window=72",0,1.728159867228486,0.05272503434479404,-0.162269458237999,82,train,1.728159867228486,True,ma_crossover_ls,ma_crossover_ls,"fast_window=48, slow_window=72","{""fast_window"": 48, ""slow_window"": 72}",48,72
"ma_crossover_ls|fast_window=48,slow_window=72",1,-3.5733360248819097,-0.08102515475985705,-0.11379842207958091,98,train,-3.5733360248819097,True,ma_crossover_ls,ma_crossover_ls,"fast_window=48, slow_window=72","{""fast_window"": 48, ""slow_window"": 72}",48,72
"ma_crossover_ls|fast_window=48,slow_window=96",0,-4.250977302720612,-0.14786180135674454,-0.27462219427955215,67,train,-4.250977302720612,True,ma_crossover_ls,ma_crossover_ls,"fast_window=48, slow_window=96","{""fast_window"": 48, ""slow_window"": 96}",48,96
"ma_crossover_ls|fast_window=48,slow_window=96",1,-2.008928709951667,-0.048202086134368986,-0.1314126758224633,76,train,-2.008928709951667,True,ma_crossover_ls,ma_crossover_ls,"fast_window=48, slow_window=96","{""fast_window"": 48, ""slow_window"": 96}",48,96
"ma_crossover_ls|fast_window=6,slow_window=12",0,-4.572700985504786,-0.1708353948186084,-0.22800514024207374,538,train,-4.572700985504786,True,ma_crossover_ls,ma_crossover_ls,"fast_window=6, slow_window=12","{""fast_window"": 6, ""slow_window"": 12}",6,12
"ma_crossover_ls|fast_window=6,slow_window=12",1,-7.155036496552841,-0.15318674312597558,-0.1826257085996731,556,train,-7.155036496552841,True,ma_crossover_ls,ma_crossover_ls,"fast_window=6, slow_window=12","{""fast_window"": 6, ""slow_window"": 12}",6,12
"ma_crossover_ls|fast_window=6,slow_window=144",0,-3.592551855141694,-0.11103115104683309,-0.22984203310033557,106,train,-3.592551855141694,True,ma_crossover_ls,ma_crossover_ls,"fast_window=6, slow_window=144","{""fast_window"": 6, ""slow_window"": 144}",6,144
"ma_crossover_ls|fast_window=6,slow_window=144",1,1.4204512792862818,0.027435454123076283,-0.08132695980193705,96,train,1.4204512792862818,True,ma_crossover_ls,ma_crossover_ls,"fast_window=6, slow_window=144","{""fast_window"": 6, ""slow_window"": 144}",6,144
